sample_id,max_bridge_temp_c,fault_code,fault_label,T1,T2,T3,Ia_original,Ib_original,IDC_original,Power_DC,Power_AC,Current_Imbalance,Temp_Diff_Max
132,12.479497,F0,normal_operation,10.577242,11.401305,12.479497,0.953079,-6.036168,-0.268817,9.765396,94.941349,-2.72381,1.902255
133,13.063774,F0,normal_operation,10.824022,11.401305,13.063774,1.050831,-5.987292,-0.171065,5.063539,55.337243,-2.823529,2.239752
134,12.479497,F0,normal_operation,10.577242,11.236149,12.479497,1.050831,-5.889541,-0.268817,7.595308,126.588465,-2.84,1.902255
135,12.479497,F0,normal_operation,10.659462,11.401305,12.479497,1.001955,-5.938416,-0.317693,11.392962,92.228739,-2.784314,1.820035
136,12.479497,F0,normal_operation,10.577242,11.401305,12.479497,1.001955,-5.840665,-0.317693,11.392962,54.252199,-2.8,1.902255
137,12.479497,F0,normal_operation,10.577242,11.649381,12.479497,1.050831,-5.889541,-0.219941,6.329423,126.588465,-2.84,1.902255
138,12.479497,F0,normal_operation,10.659462,11.071171,12.479497,1.050831,-5.840665,-0.171065,7.956989,89.516129,-2.848485,1.820035
139,12.396252,F0,normal_operation,10.577242,11.401305,12.396252,1.001955,-5.938416,-0.268817,9.765396,129.120235,-2.784314,1.81901
140,12.479497,F0,normal_operation,10.577242,11.401305,12.479497,1.050831,-6.036168,-0.268817,7.595308,93.132942,-2.815534,1.902255
141,12.896552,F0,normal_operation,10.577242,12.896552,12.479497,1.050831,-5.987292,-0.219941,6.329423,92.228739,-2.823529,2.31931
142,12.396252,F0,normal_operation,10.659462,11.401305,12.396252,1.001955,-6.036168,-0.268817,9.765396,131.652004,-2.769231,1.73679
143,12.479497,F0,normal_operation,10.577242,11.401305,12.479497,1.099707,-5.987292,-0.171065,6.510264,54.794721,-2.871287,1.902255
144,12.396252,F0,normal_operation,10.577242,11.401305,12.396252,0.953079,-6.036168,-0.268817,11.935484,94.941349,-2.72381,1.81901
145,13.987889,F0,normal_operation,8.207122,11.401305,13.987889,0.953079,-6.13392,-0.317693,6.329423,58.049853,-2.71028,5.780768
146,12.229922,F0,normal_operation,10.412917,11.401305,12.229922,1.099707,-5.987292,-0.219941,4.521017,91.324536,-2.871287,1.817006
147,12.896552,F0,normal_operation,10.577242,11.401305,12.896552,0.953079,-6.036168,-0.268817,9.765396,94.941349,-2.72381,2.31931
148,12.479497,F0,normal_operation,10.659462,11.401305,12.479497,0.953079,-5.987292,-0.219941,6.329423,94.037146,-2.730769,1.820035
149,13.650957,F0,normal_operation,10.166709,11.401305,13.650957,1.050831,-5.987292,-0.268817,11.935484,129.120235,-2.823529,3.484247
150,12.479497,F0,normal_operation,10.577242,11.153638,12.479497,1.050831,-6.036168,-0.219941,8.13783,55.879765,-2.815534,1.902255
